doc_key|doc_chap|doc_para|doc_content|doc_title|doc_label
10|0|14|"[]The same objectives are echoed in the other leading surveillance capitalist firms. As Google's Eric Schmidt observed in 2010, ""You give us more information about you, about your friends, and we can improve the quality of our searches. We don't need you to type at all. We know where you are. We know where you've been. We can more or less know what you're thinking about."" Satya Nadella of Microsoft understands all physical and institutional spaces, people, and social relationships as indexable and searchable: all of it subject to machine reasoning, pattern recognition, prediction, preemption, interruption, and modification."|Chap 0, Para 14|00 HOME OR EXILE IN THE DIGITAL FUTURE
11|0|15|Surveillance capitalism is not the old capitalism, and its leaders are not Smith's or even Hayek's capitalists. Under this regime, freedom and ignorance are no longer twin born, no longer two sides of the same coin called mystery. Surveillance capitalism is instead defined by an unprecedented convergence of freedom *and* knowledge. The degree of that convergence corresponds exactly to the scope of instrumentarian power. This unimpeded accumulation of power effectively hijacks the division of learning in society, instituting the dynamics of inclusion and exclusion upon which surveillance revenues depend. Surveillance capitalists claim the freedom to order knowledge, and then they leverage that knowledge advantage in order to protect and expand their freedom.|Chap 0, Para 15|00 HOME OR EXILE IN THE DIGITAL FUTURE
12|0|16|Although there is nothing unusual about the prospect of capitalist enterprises seeking every kind of knowledge advantage in a competitive marketplace, the surveillance capitalist capabilities that translate ignorance into knowledge are unprecedented because they rely on the one resource that distinguishes the surveillance capitalists from traditional utopianists: the financial and intellectual capital that permits the actual transformation of the world, materialized in the continuously expanding architectures of Big Other. More astonishing still is that surveillance capital derives from the dispossession of human experience, operationalized in its unilateral and pervasive programs of rendition: *our lives are scraped and sold to fund their freedom and our subjugation, their knowledge and our ignorance about what they know.*|Chap 0, Para 16|00 HOME OR EXILE IN THE DIGITAL FUTURE
13|0|17|This new condition unravels the neoliberal justification for the evisceration of the double movement and the triumph of raw capitalism: its free markets, free-market actors, and self-regulating enterprises. It suggests that surveillance capitalists mastered the rhetoric and political genius of the []neoliberal ideological defense while pursuing a novel logic of accumulation that belies the most fundamental postulates of the capitalist worldview. It's not just that the cards have been reshuffled; the rules of the game have been transformed into something that is both unprecedented and unimaginable outside the digital milieu and the vast resources of wealth and scientific prowess that the new applied utopianists bring to the table.|Chap 0, Para 17|00 HOME OR EXILE IN THE DIGITAL FUTURE
14|0|18|We have carefully examined surveillance capitalism's novel foundational mechanisms, economic imperatives, gathering power, and societal objectives. One conclusion of our investigations is that surveillance capitalism's command and control of the division of learning in society are the signature feature that breaks with the old justifications of the invisible hand and its entitlements. The combination of knowledge and freedom works to accelerate the asymmetry of power between surveillance capitalists and the societies in which they operate. This cycle will be broken only when we acknowledge as citizens, as societies, and indeed as a civilization that s*urveillance capitalists know too much to qualify for freedom.*|Chap 0, Para 18|00 HOME OR EXILE IN THE DIGITAL FUTURE
15|0|19|"In another decisive break with capitalism's past, surveillance capitalists abandon the organic reciprocities with people that have long been a mark of capitalism's endurance and adaptability. Symbolized in the twentieth century by Ford's five-dollar day, these reciprocities hearken back to Adam Smith's original insights into the productive social relations of capitalism, in which firms rely on people as employees and customers. Smith argued that price increases had to be balanced with wage increases ""so that the labourer may still be able to purchase that quantity of those necessary articles which the state of the demand for labour... requires that he should have."" The shareholder-value movement and globalization went a long way toward destroying this centuries-old social contract between capitalism and its communities, substituting formal indifference for reciprocity. Surveillance capitalism goes further. It not only jettisons Smith, but it also formally rescinds any remaining reciprocities with its societies."|Chap 0, Para 19|00 HOME OR EXILE IN THE DIGITAL FUTURE
16|0|20|"First, surveillance capitalists no longer rely on people as consumers. Instead, the axis of supply and demand orients the surveillance capitalist firm []to businesses intent on anticipating the behavior of populations, groups, and individuals. The result, as we have seen, is that ""users"" are sources of raw material for a digital-age production process aimed at a new business customer. Where individual consumers continue to exist in surveillance capitalist operations---purchasing Roomba vacuum cleaners, dolls that spy, smart vodka bottles, or behavior-based insurance policies, just to name a few examples---social relations are no longer founded on mutual exchange. In these and many other instances, products and services are merely hosts for surveillance capitalism's parasitic operations."|Chap 0, Para 20|00 HOME OR EXILE IN THE DIGITAL FUTURE
17|0|21|"Second, by historical standards the large surveillance capitalists employ relatively few people compared to their unprecedented computational resources. This pattern, in which a small, highly educated workforce leverages the power of a massive capital-intensive infrastructure, is called ""hyperscale."" The historical discontinuity of the hyperscale business operation becomes apparent by comparing seven decades of GM employment levels and market capitalization to recent post-IPO data from Google and Facebook. (I have confined the comparison here to Google and Facebook because both were pure surveillance capitalist firms even before their public offerings.)"|Chap 0, Para 21|00 HOME OR EXILE IN THE DIGITAL FUTURE
18|0|22|From the time they went public to 2016, Google and Facebook steadily climbed to the heights of market capitalization, with Google reaching \$532 billion by the end of 2016 and Facebook reaching \$332 billion, without Google ever employing more than 75,000 people or Facebook more than 18,000. General Motors took four decades to reach its highest market capitalization of \$225.15 billion in 1965, when it employed 735,000 women and men. Most startling is that GM employed more people during the height of the Great Depression than either Google or Facebook employs at their heights of market capitalization.|Chap 0, Para 22|00 HOME OR EXILE IN THE DIGITAL FUTURE
19|0|23|"The GM pattern is the iconic story of the United States in the twentieth century, before globalization, neoliberalism, the shareholder-value movement, and plutocracy unraveled the public corporation and the institutions of the double movement. Those institutions rationalized GM's employment policies with fair labor practices, unionization, and collective bargaining, emblematic of stable reciprocities during the pre-globalization decades of the twentieth century. In the 1950s, for example, 80 percent of adults said that []""big business"" was a good thing for the country, 66 percent believed that business required little or no change, and 60 percent agreed that ""the profits of large companies help make things better for everyone who buys their products or services."""|Chap 0, Para 23|00 HOME OR EXILE IN THE DIGITAL FUTURE
20|0|24|Although some critics blamed these reciprocities for GM's failure to adapt to global competition in the late 1980s, leading eventually to its bankruptcy in 2009, analyses have shown that chronic managerial complacency and doomed financial strategies bore the greatest share of responsibility for the firm's legendary decline, a conclusion that is fortified by the successes of the German automobile industry in the twenty-first century, where strong labor institutions formally share decision making authority.|Chap 0, Para 24|00 HOME OR EXILE IN THE DIGITAL FUTURE
21|0|25|Hyperscale firms have become emblematic of modern digital capitalism, and as capitalist inventions they present significant social and economic challenges, including their impact on employment and wages, industry concentration, and monopoly. In 2017, 24 hyperscale firms operated 320 data centers with anywhere between thousands and millions of servers (Google and Facebook were among the largest).|Chap 0, Para 25|00 HOME OR EXILE IN THE DIGITAL FUTURE
22|0|26|Not all hyperscale firms are surveillance capitalists, however, and our focus here is restricted to the convergence of these two domains. The surveillance capitalists that operate at hyperscale or outsource to hyperscale operations dramatically diminish any reliance on their societies as sources of employees, and the few for whom they do compete, as we have seen, are drawn from the most-rarefied strata of data science.|Chap 0, Para 26|00 HOME OR EXILE IN THE DIGITAL FUTURE
23|0|27|The absence of organic reciprocities with people as either sources of consumers or employees is a matter of exceptional importance in light of the historical relationship between market capitalism and democracy. In fact, the origins of democracy in both America and Britain have been traced to these very reciprocities. In America the violation of consumer reciprocities awakened an unstoppable march toward liberty as economic power translated into political power. A half century later in Britain, a grudging, practical, self-interested respect for the necessary interdependence of capital and labor translated into new patterns of political power, expressed in the gradual expansion of the franchise and the nonviolent shift to more-inclusive democratic institutions. Even a brief glance at these world-altering histories can []help us grasp the degree to which surveillance capitalism diverges from capitalism's past.|Chap 0, Para 27|00 HOME OR EXILE IN THE DIGITAL FUTURE
24|0|28|"The American Revolution is the outstanding example of how the reciprocities of consumption contributed to the rise of democracy. Historian T. H. Breen argues in his pathbreaking study *The Marketplace of Revolution* that it was the violation of these reciprocities that set the Revolution into motion, uniting disparate provincial strangers into a radical new patriotic force. Breen explains that American colonists had come to depend upon the ""empire of goods"" imported from England and that this dependency instilled the sense of a reciprocal social contract: ""For ordinary people, the palpable experience of participating in an expanding Anglo-American consumer market"" intensified their sense of a ""genuine partnership"" with England. Eventually, the British Parliament famously misjudged the rights and obligations of this partnership, imposing a series of taxes that turned imported goods such as cloth and tea into ""symbols of imperial oppression."" Breen describes the originality of a political movement born in the shared experience of consumption, the outrage at the violation of essential producer-consumer interdependencies, and the determination to make ""goods speak to power."""|Chap 0, Para 28|00 HOME OR EXILE IN THE DIGITAL FUTURE
25|0|29|"The translation of consumer expectations into democratic revolution occurred in three waves, beginning in 1765, when the Stamp Act triggered popular protests, riots, and organized resistance finally expressed in the ""nonimportation movement"" (today we would call it a consumer boycott). As Breen tells it, the details of the Stamp Act were less important than the colonists' realization that England did not perceive them as political or economic equals bound in mutually beneficial reciprocities: ""By compromising the Americans' ability to purchase the goods they desired, Parliament had revealed an intention to treat the colonists like second-class subjects,"" levying a heavy price ""on the pursuit of material happiness."" The Stamp Act was experienced as a violation of the colonists' rights not only as subjects of the empire but also as consumers of the empire: it was the first translation of consumers' economic power into political power, a ""radically new form of politics"" in which the most ordinary members of colonial society experienced ""an exhilarating surge of empowerment."" Parliament withdrew the Stamp Act before the nonimportation movement could effectively spread across the []colonies, and it appeared that the principle of ""no taxation without representation"" had prevailed."|Chap 0, Para 29|00 HOME OR EXILE IN THE DIGITAL FUTURE
26|0|30|When the Townshend Acts were passed just two years later, in 1767, this time imposing taxes on a range of imported goods, a new wave of outrage mobilized people in every colony. Detailed nonimportation agreements turned consumer sacrifice into the front line of political resistance. The shared experience of violated expectations cut across regional, religious, and cultural differences, providing a new basis for social solidarity. By 1770, the Townshend Acts were also repealed, and once again it seemed that a full-blown rebellion would be avoided.|Chap 0, Para 30|00 HOME OR EXILE IN THE DIGITAL FUTURE
27|0|31|"The 1773 Tea Act plunged the colonies into a new phase of resistance that shifted the political focus from nonimportation, which depended upon merchants holding the line, to *nonconsumption,* which demanded the participation of all individuals in the unique solidarity of their shared status as ""customers."" It was in this context that Samuel Adams proclaimed that the cause of liberty ""depended on the ability of the American people to free themselves from 'the Baubles of Britain.'"""|Chap 0, Para 31|00 HOME OR EXILE IN THE DIGITAL FUTURE
28|0|32|"British goods had so thoroughly come to symbolize dependency and oppression that when the tiny impoverished community of Harvard, Massachusetts, gathered to discuss the merchant vessels arriving in Boston Harbor loaded with chests of tea, they deemed it ""a matter of as interesting and important a nature when viewed in all its Consequences not only to this Town and Province, but to America in general, and that for ages and generations to come, as ever came under the deliberation of this Town."""|Chap 0, Para 32|00 HOME OR EXILE IN THE DIGITAL FUTURE
29|0|33|"A year later, in 1774, the First Continental Congress convened in Philadelphia and produced a ""grand scheme"" to abolish trade with England. ""It brought to fruition a brilliantly original strategy of consumer resistance to political oppression,"" Breen writes, ""one that had invited Americans to think of themselves as Americans even before they entertained a thought of independence."""|Chap 0, Para 33|00 HOME OR EXILE IN THE DIGITAL FUTURE
30|0|34|"In early-nineteenth-century Britain, as Daron Acemoglu and James A. Robinson have shown, the rise of democracy was inextricably bound to industrial capitalism's dependency on the ""masses"" and their contribution to the prosperity necessitated by the new organization of production. The rise []of volume production and its wage-earning labor force established British workers' economic power and led to a growing appreciation of their political legitimacy and power. This produced a new sense of interdependence between ordinary people and elites."|Chap 0, Para 34|00 HOME OR EXILE IN THE DIGITAL FUTURE
31|0|35|"Acemoglu and Robinson conclude that the ""dynamic positive feedback"" between ""inclusive economic institutions"" (i.e., industrial firms defined by employment reciprocities) and political institutions was critical to Britain's substantial and nonviolent democratic reforms. Inclusive economic institutions, they argue, ""level the playing field,"" especially when it comes to the fight for power, making it more difficult for elites to ""crush the masses"" rather than accede to their demands. Reciprocities in employment produced and sustained reciprocities in politics: ""Clamping down on popular demands and undertaking a coup against inclusive political institutions would... destroy... \[economic\] gains, and the elites opposing greater democratization and greater inclusiveness might find themselves among those losing their fortunes from this destruction."" In sharp contrast to the pragmatic concessions of Britain's early industrial capitalists, surveillance capitalists' extreme structural independence from people breeds exclusion rather than inclusion and lays the foundation for the unique approach that we have called ""radical indifference."""|Chap 0, Para 35|00 HOME OR EXILE IN THE DIGITAL FUTURE
32|0|36|The accumulation of freedom *and* knowledge combines with the lack of organic reciprocities with people to shape a third unusual feature of surveillance capitalism: a collectivist orientation that diverges from the long-standing values of market capitalism and market democracy, while also sharply departing from surveillance capitalism's origins in the neoliberal worldview. For the sake of its own commercial success, surveillance capitalism aims us toward the hive collective. This privatized instrumentarian social order is a new form of collectivism in which it is the market, not the state, which concentrates both knowledge and freedom within its domain.|Chap 0, Para 36|00 HOME OR EXILE IN THE DIGITAL FUTURE
33|0|37|"This collectivist orientation is an unexpected development in light of surveillance capitalism's origins in a neoliberal creed conceived sixty years ago []as a reaction to the collectivist totalitarian nightmares of the mid-twentieth century. Later, with the demise of the fascist and socialist threats, neoliberal ideology cunningly succeeded in redefining the modern democratic state as a fresh source of collectivism to be resisted by any and all means. Indeed, the evisceration of the double movement has been prosecuted in the name of defeating the supposed collectivist hazards of ""too much democracy."" Now the hive emulates the ""termite state,"" which even the democracy-despising Hayek derided as incompatible with human freedom."|Chap 0, Para 37|00 HOME OR EXILE IN THE DIGITAL FUTURE
34|0|38|"The convergence of freedom and knowledge transforms surveillance capitalists into society's self-appointed masters. From their high perch in the division of learning, a privileged priesthood of ""tuners"" rules the connected hive, cultivating it as a source of continuous raw-material supply. Just as early-twentieth-century managers were once taught the ""administrative point of view"" as the mode of knowledge required for the hierarchical complexities of the new large-scale corporation, today's high priests practice the applied arts of radical indifference, a fundamentally asocial mode of knowledge. With the application of radical indifference, content is judged by its volume, range, and depth of surplus as measured by the ""anonymous"" equivalence of clicks, likes, and dwell times, despite the obvious fact that its profoundly dissimilar meanings originate in distinct human situations."|Chap 0, Para 38|00 HOME OR EXILE IN THE DIGITAL FUTURE
35|0|39|"Radical indifference is a response to economic imperatives, and only occasionally do we catch an unobstructed view of its strict application as a managerial discipline. One such occasion was a 2016 internal Facebook memo acquired by *BuzzFeed* in 2018. Written by one of the company's long-standing and most influential executives, Andrew Bosworth, it provided a window into radical indifference as an applied discipline. ""We talk about the good and the bad of our work often. I want to talk about the ugly,"" Bosworth began. He went on to explain how equivalence wins out over equality in the worldview of ""an organism among organisms"" that is essential to the march toward totality and thus the growth of surveillance revenues:"|Chap 0, Para 39|00 HOME OR EXILE IN THE DIGITAL FUTURE
36|0|40|:::  We connect people. That can be good if they make it positive. Maybe someone finds love. Maybe it even saves the life of someone on the brink of suicide. So we connect more people. That can be bad if they make it negative. Maybe it costs a life by exposing someone to bullies. []Maybe someone dies in a terrorist attack coordinated on our tools. And still we connect people. The ugly truth is that... anything that allows us to connect more people more often is de facto good. It is perhaps the only area where the metrics do tell the true story as far as we are concerned.... That's why all the work we do in growth is justified. All the questionable contact importing practices. All the subtle language that helps people stay searchable by friends. All of the work we do to bring more communication in.... The best products don't win. The ones everyone uses win... make no mistake, growth tactics are how we got here. :::|Chap 0, Para 40|00 HOME OR EXILE IN THE DIGITAL FUTURE
37|0|41|"As Bosworth makes clear, from the viewpoint of radical indifference the positives and negatives must be viewed as equivalent, despite their distinct moral meanings and human consequences. From this perspective the only rational objective is the pursuit of products that snare ""everyone,"" not ""the best products."""|Chap 0, Para 41|00 HOME OR EXILE IN THE DIGITAL FUTURE
38|0|42|"A significant result of the systematic application of radical indifference is that the public-facing ""first text"" is vulnerable to corruption with content that would normally be perceived as repugnant: lies, systematic disinformation, fraud, violence, hate speech, and so on. As long as content contributes to ""growth tactics,"" Facebook ""wins."" This vulnerability can be an explosive problem on the demand side, the user side, but it breaks through the fortifications of radical indifference only when it threatens to interrupt the flow of surplus into the second ""shadow"" text: the one that is for them but not for us. The norm is that information corruption is not catalogued as problematic unless it poses an existential threat to supply operations---Bosworth's imperative of connection---either because it might trigger user disengagement or because it might attract regulatory scrutiny. This means that any efforts toward ""content moderation"" are best understood as defensive measures, not as acts of public responsibility."|Chap 0, Para 42|00 HOME OR EXILE IN THE DIGITAL FUTURE
39|0|43|"So far, the greatest challenge to radical indifference has come from Facebook and Google's overreaching ambitions to supplant professional journalism on the internet. Both corporations inserted themselves between publishers and their populations, subjecting journalistic ""content"" to the []same categories of equivalence that dominate surveillance capitalism's other landscapes. In a formal sense, professional journalism is the precise opposite of radical indifference. The journalist's job is to produce news and analysis that separate truth from falsehood. This rejection of equivalence defines journalism's raison d'être as well as its organic reciprocities with its readers. Under surveillance capitalism, though, these reciprocities are erased. A consequential example was Facebook's decision to standardize the presentation of its News Feed content so that ""all news stories looked roughly the same as each other... whether they were investigations in *The Washington Post,* gossip in the *New York Post,* or flat-out lies in the *Denver Guardian,* an entirely bogus newspaper."" This expression of equivalence without equality made Facebook's first text exceptionally vulnerable to corruption from what would come to be called ""fake news."""|Chap 0, Para 43|00 HOME OR EXILE IN THE DIGITAL FUTURE
40|0|44|"This is the context in which Facebook and Google became the focus of international attention following the discovery of organized political disinformation campaigns and profit-driven ""fake news"" stories during the 2016 US presidential election and the UK Brexit vote earlier that year. Economists Hunt Allcott and Matthew Gentzkow, who have studied these phenomena in detail, define ""fake news"" as ""distorted signals uncorrelated with the truth"" that impose ""private and social costs by making it more difficult... to infer the true state of the world...."" They found that in the lead-up to the 2016 US election there were 760 million instances of a user reading these intentionally orchestrated lies online, or about three such stories for each adult American."|Chap 0, Para 44|00 HOME OR EXILE IN THE DIGITAL FUTURE
41|0|45|"As radical indifference would predict, however, ""fake news"" and other forms of information corruption have been perennial features of Google and Facebook's online environments. There are countless examples of disinformation that survived and even thrived because it fulfilled economic imperatives, and I point out just a few. In 2007 a prominent financial analyst worried that the subprime mortgage bust would harm Google's lucrative ad business. It seems a strange observation until you learn that in the years prior to the Great Recession, Google eagerly welcomed shady subprime lenders into its behavioral futures markets, anxious to net the lion's share of the \$200 million in monthly revenue that mortgage lenders were spending on online advertising. A 2011 Consumer Watchdog report on Google's advertising []practices leading up to and during the Great Recession concluded that ""Google has been a prominent beneficiary of the national home loan and foreclosure crisis... by accepting deceptive advertising from fraudulent operators who falsely promise unwary consumers that they can solve their mortgage and credit problems."" Despite these increasingly public facts, Google continued to serve its fraudulent business customers until 2011, when the US Treasury Department finally required the company to suspend advertising relationships with ""more than 500 internet advertisers associated with the 85 alleged online mortgage fraud schemes and related deceptive advertising."""|Chap 0, Para 45|00 HOME OR EXILE IN THE DIGITAL FUTURE
42|0|46|"Only a few months earlier, the Department of Justice had fined Google \$500 million, ""one of the largest financial forfeiture penalties in history,"" for accepting ads from online Canadian pharmacies that encouraged Google's US users to illegally import controlled drugs, despite repeated warnings. As the US Deputy Attorney General told the press, ""The Department of Justice will continue to hold accountable companies who in their bid for profits violate federal law and put at risk the health and safety of American consumers."""|Chap 0, Para 46|00 HOME OR EXILE IN THE DIGITAL FUTURE
43|0|47|"Information corruption has also been a continuous feature of the Facebook environment. The turmoil associated with the 2016 US and UK political disinformation campaigns on Facebook was a well-known problem that had disfigured elections and social discourse in Indonesia, the Philippines, Columbia, Germany, Spain, Italy, Chad, Uganda, Finland, Sweden, Holland, Estonia, and the Ukraine. Scholars and political analysts had called attention to the harmful consequences of online disinformation for years. One political analyst in the Philippines worried in 2017 that it might be too late to fix the problem: ""We already saw the warning signs of this years ago.... Voices that were lurking in the shadows are now at the center of the public discourse."""|Chap 0, Para 47|00 HOME OR EXILE IN THE DIGITAL FUTURE
44|0|48|"The guiding principles of radical indifference are reflected in the operations of Facebook's hidden low-wage labor force charged with limiting the perversion of the first text. Nowhere is surveillance capitalism's outsized influence over the division of learning in society more concretely displayed than in this outcast function of ""content moderation,"" and nowhere is the nexus of economic imperatives and the division of learning more vividly exposed than in the daily banalities of these rationalized work flows where the world's horrors and hate are assigned to life or death at a pace and volume []that leave just moments to point thumbs up or down. It is only thanks to the determined reporting of a handful of investigative journalists and research scholars that we even have a glimpse of these highly secretive procedures, which now spread across a range of call centers, boutique firms, and ""micro-labor"" sites around the world. As one account notes, ""Facebook and Pinterest, along with Twitter, Reddit, and Google, all declined to provide copies of their past or current internal moderation policy guidelines."""|Chap 0, Para 48|00 HOME OR EXILE IN THE DIGITAL FUTURE
45|0|49|"Among the few reports that have managed to assess Facebook's operations, the theme is consistent. This secret workforce---some estimates reckon at least 100,000 ""content moderators,"" and others calculate the number to be much higher---operates at a distance from the corporation's core functions, applying a combination of human judgment and machine learning tools. Sometimes referred to as ""janitors,"" they review queues of content that users have flagged as problematic. Although some general rules apply across the board, such as eliminating pornography and images of child abuse, a detailed rulebook aims to reject as little content as possible in the context of a local assessment of the minimum threshold of user tolerance. The larger point of the exercise is to find the point of equilibrium between the ability to pull users and their surplus into the site and the risk of repelling them. This is a calculation of radical indifference that has nothing to do with assessing the truthfulness of content or respecting reciprocities with users. This tension helps to explain why disinformation is not a priority. One investigative report quotes a Facebook insider: ""They absolutely have the tools to shut down fake news...."""|Chap 0, Para 49|00 HOME OR EXILE IN THE DIGITAL FUTURE
46|0|50|"That radical indifference produces equivalence without equality also affects the high science of targeted advertising. For example, journalist Julia Angwin and her colleagues at *ProPublica* discovered that Facebook ""enabled advertisers to direct their pitches to the news feeds of almost 2,300 people who expressed interest in the topics of 'Jew hater,' 'How to burn jews,' or 'History of why jews ruin the world.'"" As the journalists explained, ""Facebook has long taken a hands-off approach to its advertising business.... Facebook generates its ad categories automatically based both on what users explicitly share with Facebook and what they implicitly convey through their online activity."" Similarly, reporters at *BuzzFeed* discovered that Google enables advertisers to target ads to people who type racist terms into the search []bar and even suggests ad placements next to searches for ""evil jew"" and ""Jewish control of banks."""|Chap 0, Para 50|00 HOME OR EXILE IN THE DIGITAL FUTURE
47|0|51|"In the 2017 postelection environments in the United States and the United Kingdom, as ""fake news"" dominated the spotlight, journalists discovered hundreds of examples in which prediction products had placed ads from legitimate brands, such as Verizon, AT&T, and Walmart, alongside heinous material, including disinformation sites, hate speech, extreme political content, and terrorist, racist, and anti-Semitic publications and videos."|Chap 0, Para 51|00 HOME OR EXILE IN THE DIGITAL FUTURE
48|0|52|"Most interesting was the assumed outrage and disbelief among surveillance capitalism's customers: the advertising agencies and their clients who long ago chose to sell their souls to radical indifference, turning Google and Facebook into the duopoly of the online ad market and driving the massive expansion of surveillance capitalism. It had been nearly two decades since Google invented the formula that ceded ad placement to the equivalency metrics of click-through rates, supplanting earlier approaches that sought to align advertising placements with content that reflected the advertiser's brand values. Customers forfeited those established reciprocities in favor of the ""auto magic"" of Google's secret algorithms trained on proprietary behavioral surplus culled from unwitting users. Indeed, it was the radical indifference of click metrics that bred online displays of extremism and sensationalism in the first place, as prediction products favor content designed to magnetize engagement."|Chap 0, Para 52|00 HOME OR EXILE IN THE DIGITAL FUTURE
49|0|53|"The election scandals shined a harsh spotlight on these settled practices to which the world had already become accustomed. In the heat of controversy, many top brands made a show of suspending their ads on Google and Facebook until the companies eliminated corrupt content or guaranteed acceptable ad placements. Politicians in Europe and the United States accused Google and Facebook of profiting from hatred and of weakening democracy with corrupt information. Initially, both companies seemed to assume that the noise would quickly fade. Mark Zuckerberg said it was ""crazy"" to think that fake news had influenced the elections. Google responded to its advertising customers with vague platitudes, offering little in the way of change."|Chap 0, Para 53|00 HOME OR EXILE IN THE DIGITAL FUTURE
